geo,year,napps
AT,2021,39900
BE,2021,24970
BG,2021,11000
CH,2021,14850
CY,2021,13670
CZ,2021,1405
DE,2021,190545
DK,2021,2080
EE,2021,80
EL,2021,28355
ES,2021,65295
FI,2021,2525
FR,2021,120685
HR,2021,2930
HU,2021,40
IE,2021,2650
IS,2021,870
IT,2021,53610
LI,2021,95
LT,2021,3940
LU,2021,1415
LV,2021,615
ME,2021,270
MT,2021,1515
NL,2021,26520
NO,2021,1635
PL,2021,7795
PT,2021,1540
RO,2021,9585
SE,2021,13990
SI,2021,5300
SK,2021,370
