"name","city","business_postal_code","inspection_date","risk_category","isViolation","highRisk"
"Good Luck Dim Sum","San Francisco","94118","03/14/2019 12:00:00 AM",NA,FALSE,NA
"Dim Sum Kitchen Inc","San Francisco","94134","09/09/2019 12:00:00 AM","Low Risk",TRUE,FALSE
"Sheraton Fisherman's Wharf Hotel","San Francisco","94133","12/12/2017 12:00:00 AM","Low Risk",TRUE,FALSE
"CAFE V","San Francisco","94103","01/09/2017 12:00:00 AM","High Risk",TRUE,TRUE
"Jasmine Rae Bakery","San Francisco","94110","10/13/2017 12:00:00 AM",NA,FALSE,NA
"Hula Truck (#2)","San Francisco","94123","05/31/2019 12:00:00 AM",NA,FALSE,NA
"Jake's Steaks","San Francisco","94123","11/17/2017 12:00:00 AM","Low Risk",TRUE,FALSE
"Starbucks Coffee Company #6765","San Francisco","94108","01/12/2017 12:00:00 AM",NA,FALSE,NA
"TS Cafe","San Francisco","94112","10/03/2018 12:00:00 AM",NA,FALSE,NA
"HONG KONG LOUNGE","San Francisco","94121","07/29/2019 12:00:00 AM","Low Risk",TRUE,FALSE
"Big Fish Little Fish Poke","San Francisco","94105","02/27/2018 12:00:00 AM","Low Risk",TRUE,FALSE
"CAFE MARS","San Francisco","94103","08/05/2019 12:00:00 AM","Low Risk",TRUE,FALSE
"Extreme Pizza","San Francisco","94132","02/14/2018 12:00:00 AM","Low Risk",TRUE,FALSE
"Soma Wine & Spirits 2","San Francisco","94107","07/23/2019 12:00:00 AM",NA,FALSE,NA
"Papalote Mexican Grill","San Francisco","94117","09/25/2018 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Hollywood Cafe","San Francisco","94133","04/22/2019 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Auntie Anne's Pretzels","San Francisco","94103","02/28/2018 12:00:00 AM","Low Risk",TRUE,FALSE
"Union Street Coffee Roastery, Inc.","San Francisco","94123","07/07/2017 12:00:00 AM","Low Risk",TRUE,FALSE
"Press Club","San Francisco","94103","02/23/2018 12:00:00 AM",NA,FALSE,NA
"The Grub-Bies LLC","San Francisco","94105","05/01/2018 12:00:00 AM","High Risk",TRUE,TRUE
"Hotel Via","San Francisco","94107","06/09/2017 12:00:00 AM",NA,FALSE,NA
"Jayhoon Fedaiy","San Francisco","94109","08/02/2017 12:00:00 AM","Low Risk",TRUE,FALSE
"Starbucks Coffee #47471","San Francisco","94124","04/18/2019 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Torraku Ramen (#2)","San Francisco","94158","02/22/2017 12:00:00 AM","Moderate Risk",TRUE,FALSE
"New Woey Loy Goey Restaurant","San Francisco","94133","11/08/2017 12:00:00 AM","High Risk",TRUE,TRUE
"ABC Falafel","San Francisco","94109","05/26/2017 12:00:00 AM","High Risk",TRUE,TRUE
"Lollipot","San Francisco","94116","10/05/2018 12:00:00 AM","Moderate Risk",TRUE,FALSE
"New Asia Restaurant","San Francisco","94133","11/30/2017 12:00:00 AM","Low Risk",TRUE,FALSE
"Eva's Catering","San Francisco","94122","02/15/2019 12:00:00 AM","High Risk",TRUE,TRUE
"Hook Fish Company","San Francisco","94122","05/26/2017 12:00:00 AM",NA,FALSE,NA
"Wild Pepper","San Francisco","94110","02/08/2018 12:00:00 AM","High Risk",TRUE,TRUE
"Subway #4066","San Francisco","94121","08/22/2019 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Udon Underground","San Francisco","94104","08/21/2019 12:00:00 AM","Moderate Risk",TRUE,FALSE
"The Crab Station of Fisherman's Wharf","San Francisco","94133","01/23/2017 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Central Kitchen & Salumeria","San Francisco","94110","06/24/2019 12:00:00 AM",NA,FALSE,NA
"Hilton Financial District- Banquet & Catering","San Francisco","94108","09/22/2017 12:00:00 AM",NA,FALSE,NA
"Restaurante Montecristo","San Francisco","94110","10/19/2016 12:00:00 AM","Low Risk",TRUE,FALSE
"Surisan","San Francisco","94133","02/28/2018 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Golden King Vietnamese Restaurant","San Francisco","94108","12/03/2018 12:00:00 AM","High Risk",TRUE,TRUE
"COOKLINES INC.","San Francisco","94103","08/16/2019 12:00:00 AM","Low Risk",TRUE,FALSE
"EggWhite Cafe","San Francisco","94110","10/03/2017 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Cotogna","San Francisco","94133","08/30/2019 12:00:00 AM",NA,FALSE,NA
"PING & YANG","San Francisco","94109","07/18/2019 12:00:00 AM",NA,FALSE,NA
"Proper Food","San Francisco","94104","11/17/2017 12:00:00 AM",NA,FALSE,NA
"FOUR SEASONS HOTEL- EMPLOYEE  CAFETERIA","San Francisco","94103","06/16/2017 12:00:00 AM","High Risk",TRUE,TRUE
